Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes chèques Nombre,Comptes chèques Montant,Comptes d'épargne Nombre,Comptes d'épargne  Montant,Dépôts à terme  Nombre,Dépôts à terme  Montant,Autres comptes Nombre,Autres comptes Montant, Total des comptes Nombre,Total des comptes Montant,Code GPS X,Code GPS Y
0001,,810,,Siege," 11,098   "," 30,013   "," 7,108   "," 23,684   ", -     , -     , -     , -     ," 18,206   "," 53,697   ",-6.8410666,34.0048949
0002,,810,,RABAT RP                      ," 17,858   "," 119,226   "," 34,136   "," 282,685   ", 3   , 551   ,,," 51,997   "," 402,462   ",-6.8372217,34.01961
0003,,810,,RABAT BAB LAALOU              , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.840926,34.027975
0004,,810,,RABAT MEDINA                  , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.830307,34.0241729
0005,,810,,RABAT AEROPORT                , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.762192,34.047255
0006,,810,,RABAT HAY EL AMAL             , 1   , 10   , 1   , 0   , -     , -     ,,, 2   , 10   ,-6.8801625,33.982749
0007,,810,,RABAT CITE YOUSSOUFIA         ," 2,844   "," 17,437   "," 6,527   "," 49,233   ", 1   , 10   ,,," 9,372   "," 66,680   ",-6.8185267,33.9925367
0008,,810,,RABAT ETAT MAJOR              ," 3,167   "," 22,411   ", 819   ," 3,830   ", -     , -     ,,," 3,986   "," 26,241   ",-6.830535,34.011155
0009,,810,,RABAT GARDE ROYALE            ," 3,529   "," 16,521   ", 874   ," 3,230   ", -     , -     ,,," 4,403   "," 19,751   ",-6.837034,34.009599
0010,,810,,RABAT CAMP MLY HASSAN         , -     , -     , 1   , 35   , -     , -     ,,, 1   , 35   ,-6.863574,34.006397
0011,,810,,RABAT HOPITAL MED V           ," 1,085   "," 12,449   ", 331   ," 1,977   ", -     , -     ,,," 1,416   "," 14,426   ",-6.8717283,33.9690452
0012,,810,,RABAT FAR                     , 5   , 4   , -     , -     , -     , -     ,,, 5   , 4   ,-6.859365,34.010693
0013,,810,,RABAT FORCE AUXILIAIRE        , 460   ," 4,868   ", 394   ," 1,345   ", -     , -     ,,, 854   ," 6,213   ",-6.860661,33.994407
0017,,815,,SALE MEDINA                   ," 8,407   "," 64,364   "," 18,108   "," 118,222   ", 1   , 220   ,,," 26,516   "," 182,806   ",-6.8188647,34.0363797
0018,,825,,TEMARRA PPL                   ," 8,166   "," 58,579   "," 15,994   "," 116,731   ", 1   , 196   ,,," 24,161   "," 175,505   ",-6.9166902,33.9273942
0019,,825,,TEMARA  FOUARATE              ," 1,631   "," 10,501   "," 2,358   "," 23,815   ", -     , -     ,,," 3,989   "," 34,316   ",-6.9230846,33.9021249
0020,,825,,TEMARA AL WIFAK               ," 1,224   "," 13,853   "," 1,511   "," 18,351   ", -     , -     ,,," 2,735   "," 32,203   ",-6.93448,33.920192
0021,,825,,TEMARA CAVALERIE              , -     , -     , 2   , 0   , -     , -     ,,, 2   , 0   ,-6.915110,33.925971
0022,,826,,EL HARHOURA                   ," 1,285   "," 17,053   "," 2,090   "," 24,027   ", -     , -     ,,," 3,375   "," 41,080   ",-6.958883,33.925958
0023,,827,,AIN ATTIG                     , 198   ," 1,773   ", 178   ," 1,108   ", -     , -     ,,, 376   ," 2,882   ",-6.950136,33.89835
0024,,815,,SALE TABRIQUET                ," 10,404   "," 66,521   "," 20,721   "," 145,856   ", 9   , 981   ,,," 31,134   "," 213,359   ",-6.806945,34.045066
0025,,815,,SALE MAAMOURA                 ," 2,256   "," 7,317   ", 100   , 586   , -     , -     ,,," 2,356   "," 7,904   ",-6.734131,34.04225
0026,,810,,RABAT PLACE D'ARMES           , 385   ," 1,180   ", 113   , 7   , -     , -     ,,, 498   ," 1,186   ",-6.853323,34.007624
0027,,815,,SALE 1ERE BAFRA               ," 1,503   "," 9,361   ", 65   , 834   , -     , -     ,,," 1,568   "," 10,195   ",-6.77187,34.042134
0028,,815,,SALE MOHAMMADI                ," 3,729   "," 23,480   "," 5,315   "," 48,964   ", -     , -     ,,," 9,044   "," 72,444   ",-6.7839101,34.0467324
0029,,815,,SALE 1 BATAILLON DU SERVICE DE, 369   ," 2,398   ", -     , -     , -     , -     ,,, 369   ," 2,398   ",-6.824892,34.034717
0030,,815,,SALE MLY ISMAIL               , 403   ," 2,492   ", 977   ," 8,797   ", -     , -     ,,," 1,380   "," 11,289   ",-6.7805949,34.0303515
0031,,810,,RABAT AGDAL                   ," 8,111   "," 51,987   "," 8,920   "," 69,422   ", -     , -     ,,," 17,031   "," 121,409   ",-6.8451956,34.0006478
0032,,810,,RABAT GARE                    , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.8357867,34.016485
0033,,810,,RABAT CHELLAH                 ," 3,470   "," 34,119   "," 6,305   "," 41,795   ", 1   , 20   ,,," 9,776   "," 75,934   ",-6.828365,34.0107948
0034,,819,,RABAT MECHOUAR                ," 2,634   "," 32,898   "," 3,083   "," 19,848   ", 1   , 10   ,,," 5,718   "," 52,756   ",-6.8317983,34.0052895
0035,,810,,RABAT YAACOUB EL MANSOUR      ," 3,019   "," 22,449   "," 10,636   "," 81,550   ", -     , -     ,,," 13,655   "," 104,000   ",-6.8693707,34.0016096
0036,,810,,RABAT TOUR HASSAN             ," 4,498   "," 74,425   "," 10,493   "," 97,724   ", 4   ," 1,080   ",,," 14,995   "," 173,229   ",-6.827751,34.021189
0037,,810,,RABAT AKKARI                  ," 7,618   "," 52,969   "," 12,061   "," 82,084   ", -     , -     ,,," 19,679   "," 135,052   ",-6.8592547,34.0110005
0038,,270,,FES PRINCIPAL                 ," 31,198   "," 128,394   "," 27,096   "," 162,503   ", -     , -     ,,," 58,294   "," 290,897   ",-4.998991,34.041105
0039,,270,,FES AL FADILA                 , 946   ," 5,674   "," 1,161   "," 10,654   ", -     , -     ,,," 2,107   "," 16,327   ",-5.0449461,34.015068
0040,,270,,FES GARE                      , 387   ," 2,845   ", 216   ," 2,683   ", 1   , 53   ,,, 604   ," 5,580   ",-5.005458,34.0470457
0044,,270,,FES FAR                       , 363   ," 1,649   ", 299   ," 1,178   ", -     , -     ,,, 662   ," 2,828   ",-4.981742,34.037724
0045,,281,,RIBT EL KHAIR                 ," 3,287   "," 28,715   "," 4,127   "," 34,823   ", -     , -     ,,," 7,414   "," 63,538   ",-4.407359,33.814511
0046,,665,,KARIA BA MED                  ," 6,251   "," 33,435   "," 5,393   "," 27,292   ", 3   , 120   ,,," 11,647   "," 60,847   ",-5.2091718,34.3663764
0047,,675,,TISSA                         ," 1,800   "," 11,795   "," 4,887   "," 22,157   ", -     , -     ,,," 6,687   "," 33,952   ",-4.6610088,34.2866561
0048,,274,,SIDI HARAZEM                  , 580   ," 4,477   "," 1,605   "," 10,653   ", -     , -     ,,," 2,185   "," 15,130   ",-4.881816,34.02932
0049,,270,,FES BETHA                     ," 3,274   "," 30,709   "," 11,715   "," 78,352   ", -     , -     ,,," 14,989   "," 109,060   ",-4.9822945,34.0609869
0050,,270,,FES EL KARAOUIYINE            ," 2,820   "," 20,322   "," 15,828   "," 95,220   ", -     , -     ,,," 18,648   "," 115,542   ",-4.9737543,34.0655076
0051,,270,,FES FEKHARINE                 ," 4,902   "," 37,590   "," 17,955   "," 103,311   ", 4   , 493   ,,," 22,861   "," 141,394   ",-4.9638207,34.0639756
0052,,270,,FES JEDID                     ," 4,566   "," 16,491   "," 9,529   "," 57,315   ", 3   , 150   ,,," 14,098   "," 73,956   ",-4.9899495,34.0545705
0053,,270,,FES ATLAS                     ," 11,710   "," 53,924   "," 19,099   "," 85,294   ", 1   , 100   ,,," 30,810   "," 139,318   ",-4.9942061,34.0322942
0054,,270,,FES AL QODS                   ," 2,706   "," 15,306   "," 4,044   "," 37,528   ", -     , -     ,,," 6,750   "," 52,834   ",-4.969941,34.018582
0055,,480,,MEKNES PRINCIPAL              ," 27,009   "," 166,650   "," 25,533   "," 155,592   ", 1   , 269   ,,," 52,543   "," 322,511   ",-5.5498848,33.897826
0056,,480,,MEKNES KORTOBA                ," 3,239   "," 30,217   "," 3,311   "," 34,571   ", 2   , 225   ,,," 6,552   "," 65,012   ",-5.544751,33.8626918
0057,,480,,MEKNES ACADEMIE               ," 1,981   "," 9,551   ", 657   ," 2,069   ", -     , -     ,,," 2,638   "," 11,621   ",-5.553546,33.872785
0058,,480,,MEKNES 2 BAFRA                ," 1,407   "," 5,919   ", 74   , 689   , -     , -     ,,," 1,481   "," 6,607   ",-5.5194283,33.8791095
0059,,480,,MEKNES AGDAL                  , 588   ," 2,913   "," 1,566   "," 7,884   ", -     , -     ,,," 2,154   "," 10,797   ",-5.5461002,33.8807773
0060,,480,,MEKNES CIB                    , 643   ," 2,418   ", 213   , 837   , -     , -     ,,, 856   ," 3,254   ",-5.51916,33.862585
0061,,480,,MEKNES AMIR ABDELKADER GARE   , 1   , 4   , -     , -     , -     , -     ,,, 1   , 4   ,-5.545400,33.899425
0062,,491,,ELHAJEB                       ," 7,373   "," 36,168   "," 8,696   "," 37,314   ", -     , -     ,,," 16,069   "," 73,482   ",-5.3727302,33.6840255
0063,,491,,ELHAJEB MEDINA                ," 2,319   "," 8,701   "," 2,453   "," 18,875   ", 1   , 290   ,,," 4,773   "," 27,866   ",-5.370912,33.691594
0064,,491,,EL HAJEB PLACE D'ARME         ," 1,538   "," 5,342   ", 71   , 443   , -     , -     ,,," 1,609   "," 5,785   ",-5.367411,33.687684
0065,,480,,MOULAY IDRISS                 ," 1,797   "," 17,291   "," 5,910   "," 50,757   ", -     , -     ,,," 7,707   "," 68,048   ",-5.520435,34.056973
0066,,481,,BOUFEKRANE                    ," 1,487   "," 10,942   "," 3,757   "," 28,781   ", -     , -     ,,," 5,244   "," 39,724   ",-5.483492,33.761406
0067,,480,,EL HADJ KADDOUR               ," 1,557   "," 6,572   "," 3,627   "," 25,806   ", -     , -     ,,," 5,184   "," 32,378   ",-5.424312,33.826278
0068,,480,,MEKNES MEDINA                 ," 5,535   "," 41,994   "," 15,907   "," 91,747   ", 1   , 18   ,,," 21,443   "," 133,759   ",-5.5624321,33.8948115
0069,,480,,MEKNES BNI M'HAMMED           ," 6,425   "," 50,221   "," 16,925   "," 103,870   ", -     , -     ,,," 23,350   "," 154,091   ",-5.5627741,33.8808497
0070,,492,,AIN TAOUJDATE                 ," 2,384   "," 16,696   "," 9,035   "," 62,973   ", -     , -     ,,," 11,419   "," 79,669   ",-5.214529,33.937361
0071,,493,,AGOURAI                       ," 1,939   "," 9,864   "," 6,225   "," 43,737   ", -     , -     ,,," 8,164   "," 53,601   ",-5.587642,33.641553
0072,,494,,SEBAA AIOUN                   ," 2,338   "," 12,394   "," 5,480   "," 27,771   ", 1   , 10   ,,," 7,819   "," 40,175   ",-5.373669,33.903563
0073,,570,,OUJDA PPAL                    ," 34,008   "," 115,700   "," 39,416   "," 238,024   ", 3   ," 1,120   ",,," 73,427   "," 354,844   ",-1.9146252,34.6842608
0074,,570,,AEREPORT OUJDA ANGAD          , 149   , 223   , 185   , 692   , -     , -     ,,, 334   , 915   ,-1.939516,34.785752
0075,,570,,OUJDA BADR                    , 961   ," 8,374   "," 1,948   "," 16,722   ", -     , -     ,,," 2,909   "," 25,097   ",-1.921662,34.6740781
0076,,570,,OUJDA MEDINA                  , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-1.9120141,34.6786319
0077,,570,,OUJDA FAR                     , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-1.9146842,34.6654759
0078,,570,,OUJDA AL QODS                 , 297   ," 3,034   ", 813   ," 8,644   ", -     , -     ,,," 1,110   "," 11,678   ",-1.9081222,34.670777
0079,,570,,OUJDA MIR ALI                 ," 1,064   "," 11,049   "," 3,020   "," 25,325   ", 2   , 35   ,,," 4,086   "," 36,409   ",-1.9303885,34.6795826
0080,,570,,OUJDA Q.INDUSTRIEL            ," 2,122   "," 17,416   "," 4,165   "," 36,832   ", 1   , 500   ,,," 6,288   "," 54,747   ",-1.9006804,34.6989244
0081,,570,,BENI OUKIL                    , 325   ," 2,343   ", 120   , 368   , -     , -     ,,, 445   ," 2,711   ",-2.001845,34.653423
0082,,570,,OUJDA LES IRIS                ," 2,338   "," 15,530   "," 3,375   "," 26,034   ", -     , -     ,,," 5,713   "," 41,564   ",-1.923388,34.6558524
0083,,570,,OUJDA BOULEVARD MOHAMMED V    , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-1.914786,34.684327
0084,,576,,AHFIR                         ," 3,137   "," 22,315   "," 14,930   "," 160,280   ", 1   , 75   ,,," 18,068   "," 182,670   ",-2.0984665,34.9546363
0085,,583,,AIN BENI MATHAR               ," 1,874   "," 12,499   "," 6,256   "," 52,240   ", -     , -     ,,," 8,130   "," 64,739   ",-2.025047,34.016611
0086,,587,,EL AIOUNE                     ," 2,714   "," 17,888   "," 10,129   "," 89,425   ", 1   , 400   ,,," 12,844   "," 107,713   ",-2.5062937,34.5839962
0087,,582,,JERADA                        ," 3,612   "," 17,454   "," 6,051   "," 27,551   ", -     , -     ,,," 9,663   "," 45,005   ",-2.1614823,34.3088742
0088,,582,,ZELIJA BOUBKER                , 221   ," 1,265   ", 764   ," 5,621   ", -     , -     ,,, 985   ," 6,886   ",-1.73135,34.478171
0089,,573,,TOUISSITE                     , 591   ," 3,740   "," 2,009   "," 22,244   ", -     , -     ,,," 2,600   "," 25,983   ",-1.764134,34.479127
0090,,571,,BENI DRAR                     ," 1,424   "," 27,733   "," 4,733   "," 55,784   ", -     , -     ,,," 6,157   "," 83,518   ",-1.992786,34.858353
0091,,570,,AIN ESSFA                     , 157   , 805   , 328   ," 2,830   ", -     , -     ,,, 485   ," 3,634   ",-2.141368,34.75056
0092,,582,,AIN EL GUENFOUDA              , 418   ," 2,147   "," 1,224   "," 9,264   ", -     , -     ,,," 1,642   "," 11,411   ",-2.0449832,34.4839996
0093,,330,,KENITRA PPL                   ," 29,257   "," 106,589   "," 26,354   "," 178,154   ", -     , -     ,,," 55,611   "," 284,743   ",-6.5819773,34.2609252
0094,,330,,KENITRA ANCIENNE MEDINA       , 585   ," 1,851   "," 1,306   "," 5,997   ", -     , -     ,,," 1,891   "," 7,847   ",-6.5727961,34.2653687
0095,,330,,KENITRA BOUCHTIA              , 996   ," 3,345   "," 3,735   "," 18,940   ", -     , -     ,,," 4,731   "," 22,285   ",-6.5589331,34.2643157
0096,,330,,KENITRA V HAUTE               , -     , -     , -     , -     , -     , -     ,,, -     , -     ,-6.5930737,34.2650727
