Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
614,12,1600294,AIT BAHA                      ,1,,-9.158379,30.069117
681,17,1600531,AOURIR                        ,1,,-9.672411,30.498001
594,10,1600064,AGADIR FAR                    ,1,,-9.591667,30.416667
582,22,11600007,AIT MELLOUL HAY AZROU         ,1,,-9.4622621,30.3595532
676,650,1600776,TAN TAN CITE ADMINISTRATIVE   ,1,,-11.1072314,28.4385298
634,323,1600271,ASSA                          ,1,,-9.424062,28.60864
625,650,1600077,TAN TAN PRINCIPAL             ,1,,-11.0980542,28.4365793
679,20,1600654,DCHEIRA HAY ILHAM             ,1,,-9.52689,30.363767
656,750,11600177,TIZNIT                        ,1,,-9.732897,29.6948262
602,10,1600036,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
650,45,11600014,OULAD BERREHIL                ,1,,-8.4759415,30.6388535
604,10,11600228,AGADIR CITE SIDI MOHAMED      ,1,,-9.583506,30.4251679
593,10,1600325,AGADIR QUARTIER INDUSTERIEL   ,1,,-9.5891414,30.4139924
615,11,1600756,BIOUGRA                       ,1,,-9.3696213,30.2149157
968,10,11600224,AGADIR DRARGA,1,,-9.4842133,30.3830543
680,41,1600889,TAROUDANNT MEDINA             ,1,,-8.884576,30.470139
604,10,1600897,AGADIR CITE SIDI MOHAMED      ,1,,-9.583506,30.4251679
642,681,1600758,AKKA                          ,1,,-8.255099,29.391617
586,22,11600016,AIT MELLOUL ZONE INDUSTRIELLE ,1,,-9.491753,30.3314003
747,552,1600893,IGHREM NOUGDAL                ,1,,-7.421109,31.229521
622,325,1600075,BOUIZAKARNE                   ,1,,-9.7124908,29.1782341
599,12,11600040,AIT AMIRA                     ,1,,-9.487255,30.17675
600,24,11600233,TAMRI                         ,1,,-9.826182,30.695244
648,680,1600759,TATA                          ,1,,-7.9667871,29.7403796
634,323,1600084,ASSA                          ,1,,-9.424062,28.60864
625,650,1600775,TAN TAN PRINCIPAL             ,1,,-11.0980542,28.4365793
620,22,1600755,AIT MELLOUL                   ,1,,-9.4990593,30.3466346
612,28,1600652,OULAD TEIMA                   ,1,,-9.2105703,30.3955482
623,320,1600779,GUELMIM PRINCIPAL             ,1,,-10.0568086,28.9877539
623,320,11600282,GUELMIM PRINCIPAL             ,1,,-10.0568086,28.9877539
621,22,11600045,AIT MELLOUL HAY RIAD          ,1,,-9.5042199,30.3336042
783,324,11600085,ZAG                           ,1,,-9.296279,28.022033
625,650,1600215,TAN TAN PRINCIPAL             ,1,,-11.0980542,28.4365793
620,22,1600621,AIT MELLOUL                   ,1,,-9.4990593,30.3466346
1029,10,11600230,AGADIR ISLANE,1,,-9.560110,30.433754
678,650,1600297,EL OUATIA                     ,1,,-11.3320971,28.4984952
602,10,1600452,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
733,561,1600894,TALIOUINE                     ,1,,-7.924058,30.532071
588,10,11600171,AGADIR HAY DAKHLA             ,1,,-9.5566169,30.4112271
587,10,1600308,BENSERGAO                     ,1,,-9.5686506,30.3931445
667,44,11600041,FREIJA                        ,1,,-8.797887,30.5051603
623,320,1600811,GUELMIM PRINCIPAL             ,1,,-10.0568086,28.9877539
628,761,1600853,IFNI PRINCIPAL                ,1,,-10.1725647,29.3831391
969,10,1600898,SIDI BIBI,1,,-9.524986,30.239224
984,750,1600666,TIZNIT AL MASSIRA,1,,-9.7195182,29.6830172
588,10,11600128,AGADIR HAY DAKHLA             ,1,,-9.5566169,30.4112271
626,650,11600006,TAN TAN  MEDINA               ,1,,-11.1089869,28.4282508
601,10,1600752,AGADIR TALBORJT               ,1,,-9.5910082,30.423685
661,763,11600238,MIRLEFT                       ,1,,-10.032208,29.579748
666,13,1600780,HAD AIT BELFAA                ,1,,-9.560885,30.047627
581,10,1600753,AGADIR AL FIDIA               ,1,,-9.5554474,30.4080198
611,21,11600276,INEZGANE PRINCIPAL            ,1,,-9.53311,30.3584111
643,20,1600754,DCHEIRA                       ,1,,-9.539545,30.369372
611,21,1600616,INEZGANE PRINCIPAL            ,1,,-9.53311,30.3584111
609,10,11600060,AGADIR SOUK EL HAD            ,1,,-9.578453,30.413123
589,21,1600307,INEZGANE MESDOURA             ,1,,-9.537655,30.3517129
645,41,1600829,TAROUDANNT                    ,1,,-8.8672382,30.4726237
656,750,1600072,TIZNIT                        ,1,,-9.732897,29.6948262
652,43,1600524,AOULOUZ                       ,1,,-8.178572,30.672707
