Code guichet,empty,Code localité,id,Code commune,GUICHETS ,ENTREPRISES  TPE Nombre,ENTREPRISES  TPE Montant,ENTREPRISES PME Nombre,ENTREPRISES PME Montant,ENTREPRISES  GE  (*) Nombre,ENTREPRISES  GE  (*) Montant,ENTREPRISES Entrepreneurs individuels Nombre,ENTREPRISES  Entrepreneurs individuels Montant,ENTREPRISES  Total Nombre,ENTREPRISES  Total Montant,PARTICULIERS Nombre,PARTICULIERS Montant,Code GPS X,Code GPS X2
0001,,810,1,,Siege,,,,, 2   ," 196,000   ",,, 2   ," 196,000   "," 157,268   "," 17,811   ",-6.8410666,34.0048949
0002,,810,2,,RABAT RP                      ,,,,,,,,,,," 1,616   "," 125,189   ",-6.8372217,34.01961
0003,,810,3,,RABAT BAB LAALOU              ,,,,,,,,,,, 4   , 56   ,-6.840926,34.027975
0004,,810,4,,RABAT MEDINA                  ,,,,,,,,,,, -     , -     ,-6.830307,34.0241729
0005,,810,5,,RABAT AEROPORT                ,,,,,,,,,,, -     , -     ,-6.762192,34.047255
0006,,810,6,,RABAT HAY EL AMAL             ,,,,,,,,,,, -     , -     ,-6.8801625,33.982749
0007,,810,7,,RABAT CITE YOUSSOUFIA         ,,,,,,,,,,, 100   ," 3,616   ",-6.8185267,33.9925367
0008,,810,8,,RABAT ETAT MAJOR              ,,,,,,,,,,, 45   ," 1,081   ",-6.830535,34.011155
0009,,810,9,,RABAT GARDE ROYALE            ,,,,,,,,,,, 98   , 401   ,-6.837034,34.009599
0010,,810,10,,RABAT CAMP MLY HASSAN         ,,,,,,,,,,, -     , -     ,-6.863574,34.006397
0011,,810,11,,RABAT HOPITAL MED V           ,,,,,,,,,,, 16   , 785   ,-6.8717283,33.9690452
0012,,810,12,,RABAT FAR                     ,,,,,,,,,,, 1   , 0   ,-6.859365,34.010693
0013,,810,13,,RABAT FORCE AUXILIAIRE        ,,,,,,,,,,, 68   ," 2,725   ",-6.860661,33.994407
0017,,815,17,,SALE MEDINA                   ,,,,,,,,,,, 510   ," 20,948   ",-6.8188647,34.0363797
0018,,825,18,,TEMARRA PPL                   ,,,,,,,,,,, 390   ," 28,306   ",-6.9166902,33.9273942
0019,,825,19,,TEMARA  FOUARATE              ,,,,,,,,,,, 48   ," 1,616   ",-6.9230846,33.9021249
0020,,825,20,,TEMARA AL WIFAK               ,,,,,,,,,,, 71   ," 3,176   ",-6.93448,33.920192
0021,,825,21,,TEMARA CAVALERIE              ,,,,,,,,,,, -     , -     ,-6.915110,33.925971
0022,,826,22,,EL HARHOURA                   ,,,,,,,,,,, 71   ," 5,599   ",-6.958883,33.925958
0023,,827,23,,AIN ATTIG                     ,,,,,,,,,,, 1   , 13   ,-6.950136,33.89835
0024,,815,24,,SALE TABRIQUET                ,,,,,,,,,,, 679   ," 33,616   ",-6.806945,34.045066
0025,,815,25,,SALE MAAMOURA                 ,,,,,,,,,,, 1   , 55   ,-6.734131,34.04225
0026,,810,26,,RABAT PLACE D'ARMES           ,,,,,,,,,,, -     , -     ,-6.853323,34.007624
0027,,815,27,,SALE 1ERE BAFRA               ,,,,,,,,,,, 46   ," 1,827   ",-6.77187,34.042134
0028,,815,28,,SALE MOHAMMADI                ,,,,,,,,,,, 237   ," 14,139   ",-6.7839101,34.0467324
0029,,815,29,,SALE 1 BATAILLON DU SERVICE DE,,,,,,,,,,, -     , -     ,-6.824892,34.034717
0030,,815,30,,SALE MLY ISMAIL               ,,,,,,,,,,, 3   , 22   ,-6.7805949,34.0303515
0031,,810,31,,RABAT AGDAL                   ,,,,,,,,,,, 221   ," 22,535   ",-6.8451956,34.0006478
0032,,810,32,,RABAT GARE                    ,,,,,,,,,,, 52   ," 3,906   ",-6.8357867,34.016485
0033,,810,33,,RABAT CHELLAH                 ,,,,,,,,,,, 374   ," 16,405   ",-6.828365,34.0107948
0034,,819,34,,RABAT MECHOUAR                ,,,,,,,,,,, 150   ," 9,235   ",-6.8317983,34.0052895
0035,,810,35,,RABAT YAACOUB EL MANSOUR      ,,,,,,,,,,, 110   ," 6,810   ",-6.8693707,34.0016096
0036,,810,36,,RABAT TOUR HASSAN             ,,,,,,,,,,, 699   ," 101,841   ",-6.827751,34.021189
0037,,810,37,,RABAT AKKARI                  ,,,,,,,,,,, 343   ," 15,615   ",-6.8592547,34.0110005
0038,,270,38,,FES PRINCIPAL                 ,,,,,,,,,,, 961   ," 82,382   ",-4.998991,34.041105
0039,,270,39,,FES AL FADILA                 ,,,,,,,,,,, 34   , 685   ,-5.0449461,34.015068
0040,,270,40,,FES GARE                      ,,,,,,,,,,, 10   ," 1,439   ",-5.005458,34.0470457
0044,,270,44,,FES FAR                       ,,,,,,,,,,, 23   , 732   ,-4.981742,34.037724
0045,,281,45,,RIBT EL KHAIR                 ,,,,,,,,,,, 238   ," 4,231   ",-4.407359,33.814511
0046,,665,46,,KARIA BA MED                  ,,,,,,,,,,, 115   ," 2,555   ",-5.2091718,34.3663764
0047,,675,47,,TISSA                         ,,,,,,,,,,, 30   ," 1,051   ",-4.6610088,34.2866561
0048,,274,48,,SIDI HARAZEM                  ,,,,,,,,,,, 7   , 80   ,-4.881816,34.02932
0049,,270,49,,FES BETHA                     ,,,,,,,,,,, 91   ," 5,046   ",-4.9822945,34.0609869
0050,,270,50,,FES EL KARAOUIYINE            ,,,,,,,,,,, 42   ," 1,427   ",-4.9737543,34.0655076
0051,,270,51,,FES FEKHARINE                 ,,,,,,,,,,, 97   ," 2,444   ",-4.9638207,34.0639756
0052,,270,52,,FES JEDID                     ,,,,,,,,,,, 160   ," 13,240   ",-4.9899495,34.0545705
0053,,270,53,,FES ATLAS                     ,,,,,,,,,,, 334   ," 21,193   ",-4.9942061,34.0322942
0054,,270,54,,FES AL QODS                   ,,,,,,,,,,, 63   ," 3,479   ",-4.969941,34.018582
0055,,480,55,,MEKNES PRINCIPAL              ,,,,,,,,,,," 1,150   "," 95,579   ",-5.5498848,33.897826
0056,,480,56,,MEKNES KORTOBA                ,,,,,,,,,,, 126   ," 9,076   ",-5.544751,33.8626918
0057,,480,57,,MEKNES ACADEMIE               ,,,,,,,,,,, 12   , 3   ,-5.553546,33.872785
0058,,480,58,,MEKNES 2 BAFRA                ,,,,,,,,,,, 4   , 66   ,-5.5194283,33.8791095
