Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes courants TPE Nombre,Comptes courants TPE Montant,Comptes courants PME Nombre,Comptes courants PME Montant,Comptes courants GE Nombre,Comptes courants GE Montant,Comptes courants Entrepreneurs individuels Nombre,Comptes courants Entrepreneurs individuels Montant,Comptes courants Total Nombre,Comptes courants Total Montant,Dépôts à terme TPE Nombre,Dépôts à terme TPE Montant,Dépôts à terme PME Nombre,Dépôts à terme PME Montant,Dépôts à terme GE Nombre,Dépôts à terme GE Montant,Dépôts à terme Entrepreneurs individuels Nombre,Dépôts à terme Entrepreneurs individuels Montant,Dépôts à terme Total Nombre,Dépôts à terme Total Montant,Code GPS X,Code GPS Y
0001,,810,,Siege,,,,, 37   ," 16,021   ",,, 37   ," 16,021   ",,,,, -     , -     ,,, -     , -     ,-6.8410666,34.0048949
0002,,810,,RABAT RP                      ,,,,, 104   ," 18,942   ",,, 104   ," 18,942   ",,,,,,,,,,,-6.8372217,34.01961
0003,,810,,RABAT BAB LAALOU              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.840926,34.027975
0004,,810,,RABAT MEDINA                  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.830307,34.0241729
0005,,810,,RABAT AEROPORT                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.762192,34.047255
0006,,810,,RABAT HAY EL AMAL             ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8801625,33.982749
0007,,810,,RABAT CITE YOUSSOUFIA         ,,,,, 2   , 1   ,,, 2   , 1   ,,,,,,,,,,,-6.8185267,33.9925367
0008,,810,,RABAT ETAT MAJOR              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.830535,34.011155
0009,,810,,RABAT GARDE ROYALE            ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.837034,34.009599
0010,,810,,RABAT CAMP MLY HASSAN         ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.863574,34.006397
0011,,810,,RABAT HOPITAL MED V           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.8717283,33.9690452
0012,,810,,RABAT FAR                     ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.859365,34.010693
0013,,810,,RABAT FORCE AUXILIAIRE        ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.860661,33.994407
0014,,810,,RABAT CISS FAR                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.828994,34.007011
0015,,810,,RABAT 1ER BATAILLON DE GARDE  ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.829591,34.004876
0016,,810,,RABAT AL MANAL                ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.889206,33.975538
0017,,815,,SALE MEDINA                   ,,,,, 2   , 2   ,,, 2   , 2   ,,,,,,,,,,,-6.8188647,34.0363797
0018,,825,,TEMARRA PPL                   ,,,,, 9   , 182   ,,, 9   , 182   ,,,,,,,,,,,-6.9166902,33.9273942
0019,,825,,TEMARA  FOUARATE              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.9230846,33.9021249
0020,,825,,TEMARA AL WIFAK               ,,,,, 4   , 171   ,,, 4   , 171   ,,,,,,,,,,,-6.93448,33.920192
0021,,825,,TEMARA CAVALERIE              ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.915110,33.925971
0022,,826,,EL HARHOURA                   ,,,,, 3   , 45   ,,, 3   , 45   ,,,,,,,,,,,-6.958883,33.925958
0023,,827,,AIN ATTIG                     ,,,,, 1   , 0   ,,, 1   , 0   ,,,,,,,,,,,-6.950136,33.89835
0024,,815,,SALE TABRIQUET                ,,,,, 10   , 494   ,,, 10   , 494   ,,,,,,,,,,,-6.806945,34.045066
0025,,815,,SALE MAAMOURA                 ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.734131,34.04225
0026,,810,,RABAT PLACE D'ARMES           ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.853323,34.007624
0027,,815,,SALE 1ERE BAFRA               ,,,,, -     , -     ,,, -     , -     ,,,,,,,,,,,-6.77187,34.042134
0028,,815,,SALE MOHAMMADI                ,,,,, 1   , 120   ,,, 1   , 120   ,,,,,,,,,,,-6.7839101,34.0467324
