Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
576,780,1600548,CASA AL HOUDA                 ,1,,-7.5245833,33.5823945
706,450,1600644,MARRAKECH PPAL                ,1,,-8.0093873,31.6325505
111,270,11600115,FES SIDI BRAHIM               ,1,,-4.987101,34.027042
308,690,1600845,HAD OULAD ZBAIR               ,1,,-4.3211,34.288894
435,515,11600241,MONTE ARRUI                   ,1,,-3.000138,35.01122
435,515,11600242,MONTE ARRUI                   ,1,,-3.000138,35.01122
27,815,1600871,SALE 1ERE BAFRA               ,1,,-6.77187,34.042134
474,151,1600604,BAB BERRET                    ,1,,-4.890375,34.996366
199,210,1600447,ERRACHIDIA PRINCIPAL          ,1,,-4.4252104,31.9331753
523,780,11600296,CASABLANCA DERB SIDNA         ,1,,-7.604481,33.5766516
970,450,11600062,MARRAKECH ABRAJ AL KOUTOUBIA,1,,-8.056884,31.573565
57,480,11600265,MEKNES ACADEMIE               ,1,,-5.553546,33.872785
932,240,1600904,ESSAOUIRA GARE ROUTIERE       ,1,,-9.7602475,31.517098
73,570,11600300,OUJDA PPAL                    ,1,,-1.9146252,34.6842608
5,810,11600080,RABAT AEROPORT                ,1,,-6.762192,34.047255
811,85,11600311,AFOURER                       ,1,,-6.5315974,32.2119568
581,10,1600753,AGADIR AL FIDIA               ,1,,-9.5554474,30.4080198
592,10,11600363,AGADIR ANZA                   ,1,,-9.6560812,30.4449184
607,10,11600442,AGADIR EL KHIAM               ,1,,-9.5725036,30.4221712
594,10,11600360,AGADIR FAR                    ,1,,-9.591667,30.416667
584,10,1600370,AGADIR FOUNTY                 ,1,,-9.5901257,30.4018941
604,10,1600897,AGADIR CITE SIDI MOHAMED      ,1,,-9.583506,30.4251679
604,10,11600228,AGADIR CITE SIDI MOHAMED      ,1,,-9.583506,30.4251679
588,10,11600128,AGADIR HAY DAKHLA             ,1,,-9.5566169,30.4112271
588,10,11600171,AGADIR HAY DAKHLA             ,1,,-9.5566169,30.4112271
603,10,11600017,AGADIR HAY AL WAFA            ,1,,-9.5590979,30.4208528
602,10,1600036,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
602,10,1600452,AGADIR PRINCIPAL              ,1,,-9.597514,30.420719
593,10,11600355,AGADIR QUARTIER INDUSTERIEL   ,1,,-9.5891414,30.4139924
609,10,11600060,AGADIR SOUK EL HAD            ,1,,-9.578453,30.413123
609,10,11600419,AGADIR SOUK EL HAD            ,1,,-9.578453,30.413123
601,10,1600752,AGADIR TALBORJT               ,1,,-9.5910082,30.423685
738,566,1600339,AGDZ                          ,1,,-6.451807,30.695792
221,224,11600164,AGHBALOU NSERDANE             ,1,,-5.296022,32.677646
71,493,11600204,AGOURAI                       ,1,,-5.587642,33.641553
84,576,1600777,AHFIR                         ,1,,-2.0984665,34.9546363
