Code guichet,Column1,Code localité,Code commune,GUICHETS ,Comptes chèques Nombre,Comptes chèques Montant,Comptes d'épargne Nombre,Comptes d'épargne  Montant,Dépôts à terme  Nombre,Dépôts à terme  Montant,Autres comptes Nombre,Autres comptes Montant, Total des comptes Nombre,Total des comptes Montant,Code GPS X,Code GPS Y
0001,,810,,Siege," 22,670   "," 26,799   "," 6,937   "," 16,702   ", -     , -     , -     , -     ," 29,607   "," 43,501   ",-6.8410666,34.0048949
0002,,810,,RABAT RP                      ," 19,576   "," 124,712   "," 33,515   "," 283,969   ", 4   , 150   , -     , -     ," 53,095   "," 408,830   ",-6.8372217,34.01961
0003,,810,,RABAT BAB LAALOU              , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-6.840926,34.027975
0004,,810,,RABAT MEDINA                  , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-6.830307,34.0241729
0005,,810,,RABAT AEROPORT                , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,-6.762192,34.047255
0006,,810,,RABAT HAY EL AMAL             , 1   , 3   , 1   , 0   , -     , -     , -     , -     , 2   , 3   ,-6.8801625,33.982749
0007,,810,,RABAT CITE YOUSSOUFIA         ," 2,749   "," 19,965   "," 6,713   "," 53,704   ", 2   , 190   , -     , -     ," 9,464   "," 73,858   ",-6.8185267,33.9925367
0008,,810,,RABAT ETAT MAJOR              ," 2,970   "," 23,460   ", 843   ," 3,723   ", -     , -     , -     , -     ," 3,813   "," 27,183   ",-6.830535,34.011155
0009,,810,,RABAT GARDE ROYALE            ," 3,451   "," 19,801   ", 937   ," 3,792   ", -     , -     , -     , -     ," 4,388   "," 23,593   ",-6.837034,34.009599
0010,,810,,RABAT CAMP MLY HASSAN         , 2   , 2   , 2   , 55   , -     , -     , -     , -     , 4   , 57   ,-6.863574,34.006397
0011,,810,,RABAT HOPITAL MED V           ," 1,307   "," 14,719   ", 375   ," 2,409   ", -     , -     , -     , -     ," 1,682   "," 17,128   ",-6.8717283,33.9690452
0012,,810,,RABAT FAR                     , 4   , 3   , -     , -     , -     , -     , -     , -     , 4   , 3   ,-6.859365,34.010693
0013,,810,,RABAT FORCE AUXILIAIRE        , 612   ," 4,644   ", 423   ," 1,248   ", -     , -     , -     , -     ," 1,035   "," 5,893   ",-6.860661,33.994407
0014,,810,,RABAT CISS FAR                , 901   ," 4,238   ", 333   , 32   , -     , -     , -     , -     ," 1,234   "," 4,270   ",-6.828994,34.007011
0015,,810,,RABAT 1ER BATAILLON DE GARDE  ," 2,056   "," 8,243   ", 919   ," 5,374   ", -     , -     , -     , -     ," 2,975   "," 13,617   ",-6.829591,34.004876
0016,,810,,RABAT AL MANAL                , -     , -     , 96   , 70   , -     , -     , -     , -     , 96   , 70   ,-6.889206,33.975538
0017,,815,,SALE MEDINA                   ," 7,785   "," 64,385   "," 18,051   "," 124,141   ", 1   , 160   , -     , -     ," 25,837   "," 188,686   ",-6.8188647,34.0363797
0018,,825,,TEMARRA PPL                   ," 7,945   "," 72,435   "," 16,276   "," 118,180   ", 2   , 840   , -     , -     ," 24,223   "," 191,454   ",-6.9166902,33.9273942
0019,,825,,TEMARA  FOUARATE              ," 1,899   "," 13,024   "," 2,618   "," 26,927   ", -     , -     , -     , -     ," 4,517   "," 39,951   ",-6.9230846,33.9021249
